GameID;GameNumber;GameDate;Opponent;Spot;Sub;Pos;2Boff;3Boff;HRoff;SBoff;CSby;PickBy;HBPby;IBBBy;CIinn;Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
10990;231;05.07.2020;Zürich Challengers II;1;0;4 ,6;0;0;0;2nd base off Christen/Kämpfer;0;0;0;0;0;2020;VR;NLB;3543;Campbell, Ja. LIO;7;5;4;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;Zürich Lions;01. Feb;0.25;0.4;0.25;0.65;1;5;1;0.25
10990;231;05.07.2020;Zürich Challengers II;2;0;6 ,3;0;0;0;2nd base off Christen/Kämpfer;0;0;by Siemers;0;0;2020;VR;NLB;4128;Streicher, Ma. LIO;16;5;4;2;2;2;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;Zürich Lions;01. Jan;0.5;0.6;0.5;1.1;1;-.--;-.--;0
10990;231;05.07.2020;Zürich Challengers II;3;0;8;Christen;0;0;2nd base off Christen/Kämpfer;2nd base by Siemers/Kämpfer;0;0;0;0;2020;VR;NLB;3916;Novas Gil, Lu. LIO;16;5;5;1;3;0;1;0;0;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;Zürich Lions;01. Feb;0.6;0.6;0.8;1.4;0.5;-.--;-.--;0
10990;231;05.07.2020;Zürich Challengers II;4;0;5;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3594;Dreiding, Ma. LIO;16;5;5;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;3;4;Zürich Lions;01. Apr;0.2;0.2;0.2;0.4;.---;-.--;0;0.4
10990;231;05.07.2020;Zürich Challengers II;5;0;7;0;0;0;2nd base off Christen/Kämpfer ,3rd base off Christen/Kämpfer;0;0;0;0;0;2020;VR;NLB;3678;Gränz, Mi. LIO;14;4;4;2;3;0;0;0;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;1;1;Zürich Lions;0/1;0.75;0.75;0.75;1.5;1;-.--;0;0.25
10990;231;05.07.2020;Zürich Challengers II;6;0;10;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4119;Stevens, Ne. LIO;12;4;3;2;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;2;Zürich Lions;0/1;0.333;0.5;0.333;0.833;.---;4;1;0.33
10990;231;05.07.2020;Zürich Challengers II;7;0;9;0;0;0;0;0;0;by Siemers;0;0;2020;VR;NLB;21430;Rosario Sepulveda, Ra. LIO;11;4;3;1;1;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;Zürich Lions;0/0;0.333;0.5;0.333;0.833;.---;-.--;0;0.67
10990;231;05.07.2020;Zürich Challengers II;8;0;2;0;0;0;2nd base off Christen/Kämpfer ,2nd base off Siemers/Kämpfer;0;0;0;0;0;2020;VR;NLB;3750;Inauen, An. LIO;12;4;4;2;2;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;3;Zürich Lions;01. Feb;0.5;0.5;0.5;1;1;-.--;0;0.25
10990;231;05.07.2020;Zürich Challengers II;9;0;3;0;0;0;0;0;0;0;0;0;2020;VR;NLB;9121;Werder, Ni. LIO;10;4;4;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;Zürich Lions;0/3;0;0;0;0;.---;-.--;0;0.25
10990;231;05.07.2020;Zürich Challengers II;9;1;4;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3640;Frei, Ka. LIO;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Zürich Lions;0/0;.---;.---;.---;.---;.---;-.--;-.--;-.--
10990;231;05.07.2020;Zürich Challengers II;10;0;1;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4038;Sanchez, Ra. LIO;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Zürich Lions;0/0;.---;.---;.---;.---;.---;-.--;-.--;-.--
10990;231;05.07.2020;Zürich Lions;1;0;4 ,5;Sanchez;0;0;2nd base off Sanchez/Inauen;0;0;0;0;0;2020;VR;NLB;9065;Sarmiento Reyes, Ad. CHA;9;4;4;1;2;2;1;0;0;3;1;1;0;0;0;1;0;0;0;0;0;1;0;0;2;Zürich Challengers II;01. Jan;0.5;0.5;0.75;1.25;1;-.--;0;0.25
10990;231;05.07.2020;Zürich Lions;2;0;5 ,1;0;0;0;0;0;0;0;0;0;2020;VR;NLB;19672;Siemers, Ni. CHA;13;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;Zürich Challengers II;0/1;0;0.25;0;0.25;.---;4;-.--;0
10990;231;05.07.2020;Zürich Lions;3;0;6;Sanchez;0;0;0;0;0;0;0;0;2020;VR;NLB;3798;Kovac, Ku. CHA;10;4;4;0;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;Zürich Challengers II;0/2;0.25;0.25;0.5;0.75;.---;-.--;-.--;0
10990;231;05.07.2020;Zürich Lions;4;0;10;0;0;0;0;0;0;0;0;0;2020;VR;NLB;9128;De Leon Garcia, Wa. CHA;10;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Zürich Challengers II;01. Feb;0.5;0.5;0.5;1;.---;-.--;-.--;0
10990;231;05.07.2020;Zürich Lions;4;1;4 ,9;0;0;0;0;0;0;by Sanchez;0;0;2020;VR;NLB;4042;Sato, Da. CHA;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;0;0.5;0;0.5;.---;-.--;-.--;0
10990;231;05.07.2020;Zürich Lions;5;0;3;0;0;0;0;0;0;0;0;0;2020;VR;NLB;8174;Bernet Garcia, Ol. CHA;8;4;4;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;Zürich Challengers II;01. Feb;0.25;0.25;0.25;0.5;.---;-.--;-.--;0
10990;231;05.07.2020;Zürich Lions;6;0;8;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3534;Burger, Th. CHA;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;Zürich Challengers II;0/1;0;0.5;0;0.5;.---;2;-.--;0
