GameID;GameNumber;GameDate;Opponent;Spot;Sub;Pos;2Boff;3Boff;HRoff;SBoff;CSby;PickBy;HBPby;IBBBy;CIinn;Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
10991;232;05.07.2020;Zürich Challengers II;1;0;3 ,2;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3543;Campbell, Ja. LIO;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;Zürich Lions;0/2;0;0;0;0;.---;-.--;0;0.4
10991;232;05.07.2020;Zürich Challengers II;2;0;2 ,3;0;0;0;2nd base off Kovac/Kämpfer;0;0;0;0;0;2020;VR;NLB;4128;Streicher, Ma. LIO;16;5;3;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;Zürich Lions;0/1;0;0.25;0;0.25;1;5;1;0.33
10991;232;05.07.2020;Zürich Challengers II;3;0;6;Figueroa Castillo ,Figueroa Castillo;0;0;0;0;0;0;0;0;2020;VR;NLB;3916;Novas Gil, Lu. LIO;16;5;3;2;2;2;2;0;0;4;2;0;0;0;1;0;0;0;1;0;0;2;0;1;1;Zürich Lions;01. Feb;0.667;0.6;1.333;1.933;.---;5;-.--;0
10991;232;05.07.2020;Zürich Challengers II;4;0;1;Figueroa Castillo;0;0;0;0;0;0;0;0;2020;VR;NLB;3594;Dreiding, Ma. LIO;16;5;4;1;3;1;1;0;0;4;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;Zürich Lions;01. Feb;0.75;0.8;1;1.8;.---;5;1;0.25
10991;232;05.07.2020;Zürich Challengers II;5;0;8;Figueroa Castillo;0;0;2nd base off Figueroa Castillo/Kämpfer;0;0;0;0;0;2020;VR;NLB;3678;Gränz, Mi. LIO;14;5;4;1;1;4;1;0;0;2;1;1;0;0;1;3;0;0;0;0;0;1;0;2;5;Zürich Lions;01. Mär;0.25;0.4;0.5;0.9;1;5;0.33;0.75
10991;232;05.07.2020;Zürich Challengers II;6;0;7;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4119;Stevens, Ne. LIO;12;4;4;0;3;1;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Zürich Lions;03. Mär;0.75;0.75;0.75;1.5;.---;-.--;0;0.25
10991;232;05.07.2020;Zürich Challengers II;7;0;9;0;0;0;0;0;0;0;0;0;2020;VR;NLB;21430;Rosario Sepulveda, Ra. LIO;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;Zürich Lions;0/1;0;0;0;0;.---;-.--;0;1
10991;232;05.07.2020;Zürich Challengers II;7;1;11 ,4;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4038;Sanchez, Ra. LIO;12;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;Zürich Lions;0/1;0;0.5;0;0.5;.---;2;1;1
10991;232;05.07.2020;Zürich Challengers II;8;0;5;0;0;0;0;2nd base by Figueroa Castillo/Kämpfer;0;0;0;0;2020;VR;NLB;3750;Inauen, An. LIO;12;4;4;1;1;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;2;6;Zürich Lions;0/3;0.25;0.25;0.25;0.5;0;-.--;0;0.75
10991;232;05.07.2020;Zürich Challengers II;9;0;4 ,9;0;0;0;3rd base off Kovac/Kämpfer;0;0;0;0;0;2020;VR;NLB;3640;Frei, Ka. LIO;13;4;4;1;3;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;1;2;Zürich Lions;01. Feb;0.75;0.75;0.75;1.5;1;-.--;-.--;0
10991;232;05.07.2020;Zürich Lions;1;0;4;0;0;0;0;0;0;0;0;0;2020;VR;NLB;19671;Stotz, Ja. CHA;7;5;4;1;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;Zürich Challengers II;0/1;0;0.2;0;0.2;.---;5;0.5;0.5
10991;232;05.07.2020;Zürich Lions;2;0;9;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4042;Sato, Da. CHA;9;5;5;2;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;Zürich Challengers II;01. Feb;0.6;0.6;0.6;1.2;.---;-.--;-.--;0
10991;232;05.07.2020;Zürich Lions;3;0;5 ,6;0;0;0;3rd base off Dreiding/Campbell ,2nd base off Dreiding/Campbell;0;0;0;0;0;2020;VR;NLB;9065;Sarmiento Reyes, Ad. CHA;9;4;3;1;3;0;0;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;1;1;1;2;1;4;-.--;0
10991;232;05.07.2020;Zürich Lions;4;0;1;0;0;0;2nd base off Dreiding/Streicher ,2nd base off Dreiding/Campbell;0;0;0;0;0;2020;VR;NLB;19710;Figueroa Castillo, Sa. CHA;11;4;4;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;Zürich Challengers II;02. Apr;0.5;0.5;0.5;1;1;-.--;-.--;0
10991;232;05.07.2020;Zürich Lions;4;1;5;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3765;Kämpfer, Ad. CHA;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;.---;.---;.---;.---;.---;-.--;-.--;-.--
10991;232;05.07.2020;Zürich Lions;5;0;3;0;0;0;0;0;0;0;0;0;2020;VR;NLB;8174;Bernet Garcia, Ol. CHA;8;4;3;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;5;Zürich Challengers II;0/3;0;0.25;0;0.25;.---;4;1;0.33
10991;232;05.07.2020;Zürich Lions;6;0;6 ,1;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3798;Kovac, Ku. CHA;10;4;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;4;Zürich Challengers II;0/2;0;0.25;0;0.25;.---;4;-.--;0
10991;232;05.07.2020;Zürich Lions;7;0;8;0;0;0;0;0;0;0;0;0;2020;VR;NLB;14251;Koley, Ry. CHA;4;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;Zürich Challengers II;0/0;0;0.333;0;0.333;.---;3;-.--;0
10991;232;05.07.2020;Zürich Lions;7;1;8;0;0;0;0;0;0;0;0;0;2020;VR;NLB;9128;De Leon Garcia, Wa. CHA;10;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;.---;1;.---;.---;.---;1;-.--;-.--
10991;232;05.07.2020;Zürich Lions;8;0;2;0;0;0;0;0;0;0;0;0;2020;VR;NLB;16250;Kämpfer, Ba. CHA;10;4;3;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;Zürich Challengers II;0/1;0.333;0.25;0.333;0.583;.---;-.--;-.--;0
10991;232;05.07.2020;Zürich Lions;9;0;7;0;0;0;0;0;0;by Dreiding;0;0;2020;VR;NLB;3674;Gordon, Al. CHA;14;4;3;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;Zürich Challengers II;0/0;0.333;0.5;0.333;0.833;.---;-.--;0;0.33
