Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
2020;VR;NLB;3674;Gordon, Al. CHA;14;37;30;6;7;1;1;0;0;8;1;3;0;1;4;10;2;0;0;0;1;3;1;6;18;Zürich Challengers II;02. Dez;0.233;0.361;0.267;0.628;1;9.25;0.4;0.33
2020;VR;NLB;3678;Gränz, Mi. LIO;14;51;39;14;7;6;3;0;0;10;3;6;1;0;8;13;3;0;1;0;0;5;0;8;22;Zürich Lions;01. Dez;0.179;0.353;0.256;0.609;0.857;6.38;0.62;0.33
2020;VR;NLB;3708;Henry Romu, An. WP2;9;20;18;3;2;1;0;0;0;2;0;5;0;0;1;7;0;0;1;0;0;1;0;5;17;Wil Pirates II;01. Nov;0.111;0.15;0.111;0.261;1;20;0.14;0.39
2020;VR;NLB;3718;Hirtz, Ma. BAR;8;22;17;3;2;2;0;0;0;2;0;1;0;0;1;1;2;1;1;0;0;1;0;5;12;Zürich Barracudas II;0/5;0.118;0.238;0.118;0.356;1;22;1;0.06
2020;VR;NLB;3724;Holenstein, Ol. EAG;12;40;33;8;10;6;0;0;0;10;0;0;0;0;6;1;1;0;0;0;1;2;0;7;27;Luzern Eagles II;Apr 19;0.303;0.425;0.303;0.728;.---;6.67;6;0.03
2020;VR;NLB;3740;Hutchinson, Ca. MUS;1;3;3;0;1;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;Embrach Mustangs;01. Feb;0.333;0.333;0.333;0.667;1;-.--;0;0.33
2020;VR;NLB;3745;Imhof, Be. MUS;14;60;42;19;9;7;2;0;0;11;2;15;0;0;13;9;4;0;1;0;0;2;0;7;19;Embrach Mustangs;Feb 13;0.214;0.433;0.262;0.695;1;4.62;1.44;0.21
2020;VR;NLB;3750;Inauen, An. LIO;12;39;32;6;10;2;2;0;0;12;2;7;2;0;5;13;0;1;1;0;0;3;0;7;25;Zürich Lions;Mär 18;0.313;0.395;0.375;0.77;0.778;7.8;0.38;0.41
2020;VR;NLB;3765;Kämpfer, Ad. CHA;7;18;12;3;3;3;0;0;0;3;0;0;0;0;1;5;4;0;1;0;0;0;0;3;4;Zürich Challengers II;0/5;0.25;0.444;0.25;0.694;.---;18;0.2;0.42
2020;VR;NLB;3770;Kästli, Da. MUS;17;49;41;2;6;11;0;0;0;6;0;3;0;0;7;7;0;1;0;0;0;1;0;13;33;Embrach Mustangs;Mai 23;0.146;0.271;0.146;0.417;1;7;1;0.17
2020;VR;NLB;3771;Kästli, Ma. MUS;18;69;58;12;8;11;0;1;0;10;1;11;1;0;9;13;1;1;0;0;0;4;0;13;42;Embrach Mustangs;Mär 29;0.138;0.265;0.172;0.437;0.917;7.67;0.69;0.22
2020;VR;NLB;3798;Kovac, Ku. CHA;10;40;35;8;16;6;3;0;0;19;3;5;0;0;5;1;0;0;0;1;0;1;0;4;17;Zürich Challengers II;Mai 14;0.457;0.525;0.543;1.068;1;8;5;0.03
2020;VR;NLB;3821;Lindegger, Ch. EAG;13;55;45;17;18;14;5;0;0;23;5;1;0;0;6;4;4;0;0;0;0;3;0;15;30;Luzern Eagles II;Sep 27;0.4;0.509;0.511;1.02;1;9.17;1.5;0.09
2020;VR;NLB;3825;Litscher, Sa. BAR;11;37;31;10;13;9;2;0;0;15;2;9;0;0;5;10;0;1;0;1;0;0;0;9;18;Zürich Barracudas II;Aug 20;0.419;0.5;0.484;0.984;1;7.4;0.5;0.32
2020;VR;NLB;3829;Löliger, Be. FRO;1;4;3;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;4;Sissach Frogs;0/2;0;0.25;0;0.25;.---;4;0.5;0.67
2020;VR;NLB;3836;Lüthy, St. FRO;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sissach Frogs;01. Jan;1;1;1;2;.---;-.--;-.--;0
2020;VR;NLB;3862;Meier, Mi. BAR;10;24;22;6;9;6;1;0;0;10;1;1;0;0;2;3;0;0;0;0;0;3;0;1;7;Zürich Barracudas II;05. Okt;0.409;0.458;0.455;0.913;1;12;0.67;0.14
2020;VR;NLB;3873;Meyer, Mi. WP2;4;8;7;1;1;0;0;0;0;1;0;2;0;1;1;0;0;0;0;0;0;1;0;0;4;Wil Pirates II;0/1;0.143;0.25;0.143;0.393;1;8;-.--;0
