GameID;GameNumber;GameDate;Opponent;Spot;Sub;Pos;2Boff;3Boff;HRoff;SBoff;CSby;PickBy;HBPby;IBBBy;CIinn;Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
11005;248;19.07.2020;Zürich Barracudas II;1;0;6;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4128;Streicher, Ma. LIO;16;4;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;Zürich Lions;0/0;0;0;0;0;.---;-.--;0;0.25
11005;248;19.07.2020;Zürich Barracudas II;2;0;5;0;0;0;0;0;0;0;0;0;2020;VR;NLB;7016;Meier, Se. FRO;17;4;3;2;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Sissach Frogs;0/0;0.667;0.75;0.667;1.417;.---;4;-.--;0
11005;248;19.07.2020;Zürich Barracudas II;3;0;7;0;0;0;0;0;0;by Ventura Rosado;0;0;2020;VR;NLB;21430;Rosario Sepulveda, Ra. LIO;11;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;Zürich Lions;0/0;0;0.333;0;0.333;.---;-.--;-.--;0
11005;248;19.07.2020;Zürich Barracudas II;3;1;7;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3771;Kästli, Ma. MUS;18;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Embrach Mustangs;0/1;0;0;0;0;.---;-.--;-.--;0
11005;248;19.07.2020;Zürich Barracudas II;4;0;8;0;0;0;2nd base off Ventura Rosado/Bundi;0;0;0;0;0;2020;VR;NLB;3916;Novas Gil, Lu. LIO;16;4;3;1;2;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;Zürich Lions;02. Feb;0.667;0.75;0.667;1.417;1;4;-.--;0
11005;248;19.07.2020;Zürich Barracudas II;5;0;1 ,4;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3594;Dreiding, Ma. LIO;16;4;4;0;2;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;Zürich Lions;01. Jan;0.5;0.5;0.5;1;.---;-.--;0;0.25
11005;248;19.07.2020;Zürich Barracudas II;6;0;3;0;0;0;0;0;0;0;0;0;2020;VR;NLB;3770;Kästli, Da. MUS;17;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;Embrach Mustangs;0/1;0;0.5;0;0.5;.---;2;-.--;0
11005;248;19.07.2020;Zürich Barracudas II;6;1;3;0;0;0;0;0;0;0;0;0;2020;VR;NLB;9121;Werder, Ni. LIO;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Zürich Lions;0/0;0;0;0;0;.---;-.--;-.--;0
11005;248;19.07.2020;Zürich Barracudas II;7;0;4 ,1;0;0;0;0;0;0;0;0;0;2020;VR;NLB;4038;Sanchez, Ra. LIO;12;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;Zürich Lions;0/1;0;0;0;0;.---;-.--;0;0.33
11005;248;19.07.2020;Zürich Barracudas II;8;0;2;0;0;0;0;2nd base by Ventura Rosado/Bundi;0;0;0;0;2020;VR;NLB;3750;Inauen, An. LIO;12;3;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;Zürich Lions;0/1;0;0;0;0;0;-.--;0;0.67
